node_id,node_no,node_type,is_boundary,#_of_outgoing_nodes,activity_node_flag,agent_type,zone_id,cell_code,info_zone_flag,x_coord,y_coord
202926,0,,0,0,1,, 6,,0,-112.480687,33.740538
202925,1,,0,0,0,, -1,,0,-112.446316,33.713652
202924,2,,0,0,0,, -1,,0,-112.463132,33.711342
202923,3,,0,0,0,, -1,,0,-112.460994,33.725310
202909,4,,0,0,0,, -1,,0,-112.452687,33.638513
202908,5,,0,0,0,, -1,,0,-112.461442,33.638386
202905,6,,0,0,0,, -1,,0,-112.478594,33.682073
202904,7,,0,0,0,, -1,,0,-112.440810,33.682018
202894,8,,0,0,1,, 16,,0,-112.478543,33.711346
615,9,,1,0,1,, 615,,0,-112.462040,33.693113
602,10,,1,0,1,, 602,,0,-112.481753,33.611509
2166,11,,1,0,1,, 2166,,0,-112.467972,33.659825
202855,12,,0,0,1,, 5,,0,-112.472467,33.638364
2146,13,,1,0,1,, 2146,,0,-112.464659,33.717140
202831,14,,0,0,0,, -1,,0,-112.463132,33.718526
202825,15,,0,0,0,, -1,,0,-112.464113,33.711342
202824,16,,0,0,0,, -1,,0,-112.469722,33.711339
2125,17,,1,0,1,, 2125,,0,-112.474416,33.729884
620,18,,1,0,1,, 620,,0,-112.433183,33.684132
202809,19,,0,0,0,, -1,,0,-112.412007,33.686868
645,20,,1,0,1,, 645,,0,-112.333253,33.631209
202808,21,,0,0,0,, -1,,0,-112.324798,33.630770
647,22,,1,0,1,, 647,,0,-112.340401,33.687231
202807,23,,0,0,0,, -1,,0,-112.342306,33.682083
202806,24,,0,0,1,, 8,,0,-112.313380,33.681851
653,25,,1,0,1,, 653,,0,-112.331604,33.675656
202804,26,,0,0,0,, -1,,0,-112.325834,33.674807
654,27,,1,0,1,, 654,,0,-112.329712,33.647780
202803,28,,0,0,0,, -1,,0,-112.325009,33.653237
202796,29,,0,0,0,, -1,,0,-112.423245,33.695797
202790,30,,0,0,0,, -1,,0,-112.405334,33.681636
202789,31,,0,0,0,, -1,,0,-112.325928,33.681420
202788,32,,0,0,0,, -1,,0,-112.334084,33.692359
202785,33,,0,0,0,, -1,,0,-112.325524,33.667625
202784,34,,0,0,0,, -1,,0,-112.331676,33.666065
202783,35,,0,0,0,, -1,,0,-112.324760,33.638727
202782,36,,0,0,0,, -1,,0,-112.334501,33.638522
202780,37,,0,0,1,, 3,,0,-112.330766,33.623526
202768,38,,0,0,0,, -1,,0,-112.396526,33.687434
202767,39,,0,0,0,, -1,,0,-112.403252,33.681410
202766,40,,0,0,1,, 18,,0,-112.323022,33.740874
202764,41,,0,0,0,, -1,,0,-112.354371,33.682966
202763,42,,0,0,0,, -1,,0,-112.357667,33.686277
202762,43,,0,0,0,, -1,,0,-112.381543,33.686830
202761,44,,0,0,0,, -1,,0,-112.389691,33.684683
202760,45,,0,0,1,, 7,,0,-112.315898,33.715288
202759,46,,0,0,0,, -1,,0,-112.337492,33.711459
202756,47,,0,0,0,, -1,,0,-112.325665,33.726993
202755,48,,0,0,0,, -1,,0,-112.330772,33.726815
202753,49,,0,0,0,, -1,,0,-112.403023,33.681234
202752,50,,0,0,0,, -1,,0,-112.396280,33.687252
202750,51,,0,0,1,, 1,,0,-112.313608,33.707118
202749,52,,0,0,0,, -1,,0,-112.334077,33.698525
202748,53,,0,0,0,, -1,,0,-112.334078,33.698246
202747,54,,0,0,1,, 1,,0,-112.313302,33.707018
202746,55,,0,0,0,, -1,,0,-112.452831,33.624200
202745,56,,0,0,1,, 15,,0,-112.435456,33.624241
633,57,,1,0,1,, 633,,0,-112.400922,33.631194
202744,58,,0,0,0,, -1,,0,-112.393981,33.631331
202743,59,,0,0,1,, 13,,0,-112.401674,33.624152
202739,60,,0,0,1,, 11,,0,-112.385243,33.623953
202735,61,,0,0,0,, -1,,0,-112.390686,33.669473
202734,62,,0,0,0,, -1,,0,-112.395598,33.674156
