mvmt_id,node_id,osm_node_id,name,ib_link_id,start_ib_lane,end_ib_lane,ob_link_id,start_ob_lane,end_ob_lane,ib_link_lanes,ob_link_lanes,minmum,lanes,diff,ib_osm_node_id,ob_osm_node_id,type,penalty,capacity,ctrl_type,mvmt_txt_id,geometry,volume,free_speed,allowed_uses
0,0,41529691,,1,1,1,111,1,1,1,1,1,1,,41529697,5201685470,left,,,,SBL,"LINESTRING (-111.9304085 33.4231974, -111.9303414 33.4231158)",,,auto
1,0,41529691,,1,1,1,115,1,1,1,1,1,1,,41529697,330693678,right,,,,SBR,"LINESTRING (-111.9304085 33.4231974, -111.9304890 33.4231763)",,,auto
2,0,41529691,,112,1,1,0,1,1,1,1,1,1,,5201685470,41529697,right,,,,WBR,"LINESTRING (-111.9303414 33.4231158, -111.9304085 33.4231974)",,,auto
3,0,41529691,,112,1,1,115,1,1,1,1,1,1,0,5201685470,330693678,thru,,,,WBT,"LINESTRING (-111.9303414 33.4231158, -111.9304890 33.4231763)",,,auto
4,0,41529691,,467,2,2,0,1,1,2,1,1,1,,330693619,41529697,left,,,,EBL,"LINESTRING (-111.9305115 33.4231378, -111.9304085 33.4231974)",,,auto
5,0,41529691,,467,2,2,111,1,1,2,1,1,1,0,330693619,5201685470,thru,,,,EBT,"LINESTRING (-111.9305115 33.4231378, -111.9303414 33.4231158)",,,auto
6,0,41529691,,467,1,1,115,1,1,2,1,1,1,,330693619,330693678,uturn,,,,EBU,"LINESTRING (-111.9305115 33.4231378, -111.9304890 33.4231763)",,,auto
7,1,41529697,,0,1,1,477,1,1,1,1,1,1,0,41529691,41529701_2704829968,thru,,,,NBT,"LINESTRING (-111.9291608 33.4242745, -111.9289977 33.4243206)",,,auto
8,1,41529697,,478,1,1,1,1,1,1,1,1,1,0,41529701_2704829968,41529691,thru,,,,WBT,"LINESTRING (-111.9289977 33.4243206, -111.9291608 33.4242745)",,,auto
9,2,3101265641,,3,1,1,474,1,1,1,1,1,1,,41529740_2625359015,5080816830,left,,,,WBL,"LINESTRING (-111.9411830 33.4243389, -111.9412708 33.4242664)",,,auto
10,2,3101265641,,3,1,1,475,1,1,1,1,1,1,0,41529740_2625359015,,thru,,,,WBT,"LINESTRING (-111.9411830 33.4243389, -111.9413552 33.4243380)",,,auto
11,2,3101265641,,473,1,1,2,1,1,1,1,1,1,,5080816830,41529740_2625359015,right,,,,NBR,"LINESTRING (-111.9412708 33.4242664, -111.9411830 33.4243389)",,,auto
12,2,3101265641,,473,1,1,475,1,1,1,1,1,1,,5080816830,,left,,,,NBL,"LINESTRING (-111.9412708 33.4242664, -111.9413552 33.4243380)",,,auto
13,2,3101265641,,476,1,1,2,1,1,1,1,1,1,0,,41529740_2625359015,thru,,,,EBT,"LINESTRING (-111.9413552 33.4243380, -111.9411830 33.4243389)",,,auto
14,2,3101265641,,476,1,1,474,1,1,1,1,1,1,,,5080816830,right,,,,EBR,"LINESTRING (-111.9413552 33.4243380, -111.9412708 33.4242664)",,,auto
15,4,2626664037,,5,1,1,512,1,1,1,1,1,1,0,41529813,6796038632,thru,,,,WBT,"LINESTRING (-111.9375474 33.4243580, -111.9376547 33.4244243)",,,auto
16,4,2626664037,,511,1,1,4,1,1,1,1,1,1,0,6796038632,41529813,thru,,,,EBT,"LINESTRING (-111.9376820 33.4243000, -111.9375474 33.4243580)",,,auto
17,5,41529813,,4,1,1,6,1,1,1,1,1,1,0,2626664037,316007232,thru,,,,EBT,"LINESTRING (-111.9367521 33.4243590, -111.9365799 33.4243596)",,,auto
