agent_id,agent_type,o_node_id,d_node_id,travel_time,node_sequence,time_sequence
2,v,1,2,-1.1,1;2,0001:00;0007:00
3,v,1,3,-1.1,1;3,0001:00;0005:00
4,v,1,4,-1.1,1;3;4,0001:00;0005:00;0009:00
5,v,1,5,-1.1,1;3;4;5,0001:00;0005:05;0009:05;0011:05
6,v,1,6,-1.1,1;2;6,0001:00;0007:00;0012:00
7,v,1,7,-1.1,1;2;6;8;7,0001:00;0007:05;0012:05;0014:05;0017:06
8,v,1,8,-1.1,1;2;6;8,0001:00;0007:05;0012:05;0014:05
9,v,1,9,-1.1,1;3;4;5;9,0001:00;0005:05;0009:05;0011:05;0016:06
10,v,1,10,-1.1,1;3;4;5;9;10,0001:00;0005:12;0009:18;0011:18;0016:18;0019:18
11,v,1,11,-1.1,1;3;4;11,0001:00;0005:12;0009:24;0015:24
12,v,1,12,-1.1,1;3;12,0001:00;0005:17;0009:18
13,v,1,13,-1.1,1;3;12;13,0001:00;0005:17;0009:18;0012:18
14,v,1,14,-1.1,1;3;4;11;14,0001:00;0005:24;0009:30;0015:30;0019:30
15,v,1,15,-1.1,1;3;4;11;14;15,0001:00;0005:24;0009:35;0015:35;0019:36;0024:36
16,v,1,16,-1.1,1;2;6;8;16,0001:00;0007:12;0012:11;0014:11;0019:11
17,v,1,17,-1.1,1;2;6;8;16;17,0001:00;0007:12;0012:11;0014:11;0019:11;0021:11
18,v,1,18,-1.1,1;2;6;8;7;18,0001:00;0007:17;0012:18;0014:18;0017:18;0019:18
19,v,1,19,-1.1,1;2;6;8;16;17;19,0001:00;0007:17;0012:18;0014:18;0019:18;0021:18;0023:18
20,v,1,20,-1.1,1;2;6;8;7;18;20,0001:00;0007:24;0012:24;0014:24;0017:23;0019:23;0023:23
21,v,1,21,-1.1,1;3;12;13;24;21,0001:00;0005:30;0009:30;0012:30;0016:30;0019:30
22,v,1,22,-1.1,1;3;12;13;24;21;22,0001:00;0005:30;0009:30;0012:30;0016:30;0019:30;0021:30
23,v,1,23,-1.1,1;3;12;13;24;23,0001:00;0005:35;0009:35;0012:35;0016:36;0018:36
24,v,1,24,-1.1,1;3;12;13;24,0001:00;0005:35;0009:35;0012:35;0016:36
25,v,2,1,-1.1,2;1,0001:00;0007:00
27,v,2,3,-1.1,2;1;3,0001:00;0007:00;0011:00
28,v,2,4,-1.1,2;6;5;4,0001:00;0006:00;0010:00;0012:00
29,v,2,5,-1.1,2;6;5,0001:00;0006:00;0010:00
30,v,2,6,-1.1,2;6,0001:00;0006:00
31,v,2,7,-1.1,2;6;8;7,0001:00;0006:05;0008:05;0011:05
32,v,2,8,-1.1,2;6;8,0001:00;0006:12;0008:11
33,v,2,9,-1.1,2;6;5;9,0001:00;0006:12;0010:11;0015:11
34,v,2,10,-1.1,2;6;5;9;10,0001:00;0006:17;0010:18;0015:18;0018:18
35,v,2,11,-1.1,2;6;5;4;11,0001:00;0006:17;0010:18;0012:18;0018:18
36,v,2,12,-1.1,2;1;3;12,0001:00;0007:05;0011:05;0015:05
37,v,2,13,-1.1,2;1;3;12;13,0001:00;0007:05;0011:05;0015:05;0018:06
38,v,2,14,-1.1,2;6;5;4;11;14,0001:00;0006:24;0010:24;0012:24;0018:23;0022:23
39,v,2,15,-1.1,2;6;8;16;17;19;15,0001:00;0006:24;0008:24;0013:24;0015:24;0017:23;0021:23
40,v,2,16,-1.1,2;6;8;16,0001:00;0006:30;0008:30;0013:30
41,v,2,17,-1.1,2;6;8;16;17,0001:00;0006:30;0008:30;0013:30;0015:30
42,v,2,18,-1.1,2;6;8;7;18,0001:00;0006:35;0008:35;0011:35;0013:35
43,v,2,19,-1.1,2;6;8;16;17;19,0001:00;0006:35;0008:35;0013:35;0015:35;0017:36
