link_id,link_no,from_node_id,to_node_id,link_type,link_type_name,lanes,length,free_speed,capacity,geometry
1,0,1,3,1,,3,1.000000,60.000000,1900.000000,"LINESTRING (-112.216413 33.653927, -112.203112 33.667556)",
2,1,3,4,1,,3,1.000000,60.000000,1800.000000,"LINESTRING (-112.203112 33.667556, -112.182704 33.667637)",
3,2,4,5,1,,3,1.000000,60.000000,1800.000000,"LINESTRING (-112.182704 33.667637, -112.163116 33.667772)",
4,3,5,6,1,,3,1.000000,60.000000,1800.000000,"LINESTRING (-112.163116 33.667772, -112.140701 33.667926)",
5,4,6,7,1,,3,1.000000,60.000000,1800.000000,"LINESTRING (-112.140701 33.667926, -112.120306 33.668067)",
6,5,7,8,1,,3,1.000000,60.000000,1800.000000,"LINESTRING (-112.120306 33.668067, -112.098093 33.668220)",
7,6,8,9,1,,3,1.000000,60.000000,1800.000000,"LINESTRING (-112.098093 33.668220, -112.079717 33.668347)",
8,7,10,11,1,,2,1.000000,60.000000,1800.000000,"LINESTRING (-112.062351 33.668466, -112.046196 33.668578)",
9,8,11,12,1,,3,1.000000,60.000000,1800.000000,"LINESTRING (-112.046196 33.668578, -112.038642 33.662300)",
10,9,9,10,1,,2,1.000000,60.000000,1800.000000,"LINESTRING (-112.079717 33.668347, -112.062351 33.668466)",
11,10,1,14,1,,3,1.000000,60.000000,1800.000000,"LINESTRING (-112.216413 33.653927, -112.211333 33.648451)",
12,11,14,15,1,,3,1.000000,60.000000,1800.000000,"LINESTRING (-112.211333 33.648451, -112.207035 33.644013)",
13,12,15,16,1,,3,1.000000,60.000000,1800.000000,"LINESTRING (-112.207035 33.644013, -112.202329 33.639298)",
14,13,16,17,1,,3,1.000000,60.000000,1800.000000,"LINESTRING (-112.202329 33.639298, -112.190818 33.639378)",
15,14,17,18,1,,3,1.000000,60.000000,1800.000000,"LINESTRING (-112.190818 33.639378, -112.179914 33.639453)",
